Codice Nazionale;Sigla Provincia;Denominazione Italiana;Denominazione Estera;Codice Catastale;Ufficio Catasto Terreni;Ufficio Catasto Fabbricati;Codice Conservatoria;Codice Istat;Data Costituzione;Attesa VCT Territorio;Attesa VCT Fabbricati
D845;MI;GAGGIANO;;C1ID;MI;MI;PV00;015103;;;
D847;BO;GAGGIO MONTANO;;H1BG;BO;BO;BO00;037027;;;
D848;BI;GAGLIANICO;;A6DC;BI;BI;BI00;096026;;;
D849;EN;GAGLIANO CASTELFERRATO;;U5AJ;EN;EN;EN00;086010;;;
D850;AQ;GAGLIANO ATERNO;;N1BZ;AQ;AQ;AQ00;066045;;;
D851;LE;GAGLIANO DEL CAPO;;R4BD;LE;LE;LE00;075028;;;
D852;CZ;GAGLIATO;;T2CG;CZ;CZ;CZ00;079055;;;
D853;MC;GAGLIOLE;;K3AW;MC;MC;MC00;043020;;;
D854;TV;GAIARINE;;D5BI;TV;TV;TV00;026031;;;
D855;RO;GAIBA;;D4BI;RO;RO;RO00;029025;;;
D856;CN;GAIOLA;;A4DY;CN;CN;CN00;004093;;;
D858;SI;GAIOLE IN CHIANTI;;I9AP;SI;SI;SI00;052013;;;
D859;NU;GAIRO;;V2BC;NU;NU;NU00;091026;;;
D860;BZ;GAIS;GAIS;E2CN;;;;021034;;;
D861;ME;GALATI MAMERTINO;;U6BH;ME;ME;ME00;083030;;;
D862;LE;GALATINA;;R4BE;LE;LE;LE00;075029;;;
D863;LE;GALATONE;;R4BF;LE;LE;LE00;075030;;;
D864;RC;GALATRO;;T1BQ;RC;RC;RC00;080035;;;
D865;LC;GALBIATE;;C4HV;LC;LC;LC00;097036;;;
D867;FC;GALEATA;;H3AP;FO;FO;FO00;040014;;;
D868;LO;GALGAGNANO;;C1IE;LO;LO;LO00;098027;;;
D869;VA;GALLARATE;;C9EB;VA;VA;MI20;012070;;;
D870;VT;GALLESE;;M5BF;VT;VT;VT00;056027;;;
D871;VA;GALLIATE LOMBARDO;;C9EC;VA;VA;VA00;012071;;;
D872;NO;GALLIATE;;A5FJ;NO;NO;NO00;003068;;;
D873;PV;GALLIAVOLA;;C7EB;PV;PV;PV10;018066;;;
D874;LU;GALLICANO;;I5AQ;LU;LU;LU00;046015;;;
D875;RM;GALLICANO NEL LAZIO;;M1CA;RM;RM;RM20;058040;;;
D876;PZ;GALLICCHIO;;S1BN;PZ;PZ;PZ00;076035;;;
D878;BO;GALLIERA;;H1BH;BO;BO;BO00;037028;;;
D879;PD;GALLIERA VENETA;;D3BP;PD;PD;VI10;028039;;;
D881;FR;GALLINARO;;M2BP;FR;FR;FR00;060040;;;
D882;VI;GALLIO;;D7BW;VI;VI;VI20;024042;;;
D883;LE;GALLIPOLI;;R4BG;LE;LE;LE00;075031;;;
D884;CE;GALLO MATESE;;Q4BZ;CE;CE;CE00;061038;;;
D885;ME;GALLODORO;;U6BI;ME;ME;ME00;083031;;;
D886;CE;GALLUCCIO;;Q4CA;CE;CE;CE00;061039;;;
D888;NU;GALTELLI';;V2BD;NU;NU;NU00;091027;;;
D889;PD;GALZIGNANO TERME;;D3BQ;PD;PD;PD00;028040;;;
D890;AL;GAMALERO;;A2EG;AL;AL;AL00;006078;;;
D891;BS;GAMBARA;;C3ET;BS;BS;BS00;017073;;;
D892;PV;GAMBARANA;;C7EC;PV;PV;PV10;018067;;;
D894;CN;GAMBASCA;;A4EA;CN;CN;CN30;004094;;;
D895;FI;GAMBASSI TERME;;I1AX;FI;FI;PI10;048020;;;
D896;CB;GAMBATESA;;P1BK;CB;CB;CB00;070025;;;
D897;VI;GAMBELLARA;;D7BX;VI;VI;VI00;024043;;;
D898;CH;GAMBERALE;;N2BR;CH;CH;CH00;069039;;;
D899;FC;GAMBETTOLA;;H3AQ;FO;FO;FO00;040015;;;
D901;PV;GAMBOLO';;C7ED;PV;PV;PV10;018068;;;
D902;VI;GAMBUGLIANO;;D7BY;VI;VI;VI00;024044;;;
D903;BG;GANDELLINO;;C2FW;BG;BG;BG00;016107;;;
D905;BG;GANDINO;;C2FX;BG;BG;BG00;016108;;;
D906;BG;GANDOSSO;;C2FY;BG;BG;BG00;016109;;;
D907;PA;GANGI;;U1BL;PA;PA;PA00;082036;;;
D909;MT;GARAGUSO;;S2AK;MT;MT;MT00;077009;;;
D910;AL;GARBAGNA;;A2EH;AL;AL;AL40;006079;;;
D911;NO;GARBAGNA NOVARESE;;A5FK;NO;NO;NO00;003069;;;
D912;MI;GARBAGNATE MILANESE;;C1IF;MI;MI;MI20;015105;;;
D913;LC;GARBAGNATE MONASTERO;;C4HX;LC;LC;LC00;097037;;;
D915;VR;GARDA;;D6BV;VR;VR;VR00;023036;;;
D917;BS;GARDONE RIVIERA;;C3EU;BS;BS;BS20;017074;;;
D918;BS;GARDONE VAL TROMPIA;;C3EV;BS;BS;BS00;017075;;;
D920;CN;GARESSIO;;A4EB;CN;CN;CN20;004095;;;
D921;NO;GARGALLO;;A5FL;NO;NO;NO00;003070;;;
D923;BZ;GARGAZZONE;GARGAZON;E2CP;;;;021035;;;
D924;BS;GARGNANO;;C3EW;BS;BS;BS20;017076;;;
D925;PV;GARLASCO;;C7EE;PV;PV;PV10;018069;;;
D926;LC;GARLATE;;C4HY;LC;LC;LC00;097038;;;
D927;SV;GARLENDA;;G4BS;SV;SV;SV10;009030;;;
D928;TN;GARNIGA TERME;;E1GD;;;;022091;;;
D930;CO;GARZENO;;C4HZ;CO;CO;CO00;013106;;;
D931;TO;GARZIGLIANA;;A1FQ;TO;TO;TO50;001111;;;
D932;CZ;GASPERINA;;T2CH;CZ;CZ;CZ00;079056;;;
D933;TO;GASSINO TORINESE;;A1FR;TO;TO;TO20;001112;;;
D934;RE;GATTATICO;;H8AX;RE;RE;RE00;035022;;;
D935;FC;GATTEO;;H3AR;FO;FO;FO00;040016;;;
D937;NO;GATTICO;;A5FM;NO;NO;NO00;003071;;;
D938;VC;GATTINARA;;A6DD;VC;VC;VC00;002061;;;
D940;BS;GAVARDO;;C3EX;BS;BS;BS20;017077;;;
D942;RO;GAVELLO;;D4BJ;RO;RO;RO00;029026;;;
D943;BG;GAVERINA TERME;;C2FZ;BG;BG;BG00;016110;;;
D944;AL;GAVI;;A2EJ;AL;AL;AL30;006081;;;
D945;RM;GAVIGNANO;;M1CB;RM;RM;RM50;058041;;;
D946;VA;GAVIRATE;;C9EE;VA;VA;VA00;012072;;;
D947;NU;GAVOI;;V2BE;NU;NU;NU00;091028;;;
D948;GR;GAVORRANO;;I3AK;GR;GR;GR00;053010;;;
D949;MN;GAZOLDO DEGLI IPPOLITI;;C6BB;MN;MN;MN10;020024;;;
