Codice Nazionale;Sigla Provincia;Denominazione Italiana;Denominazione Estera;Codice Catastale;Ufficio Catasto Terreni;Ufficio Catasto Fabbricati;Codice Conservatoria;Codice Istat;Data Costituzione;Attesa VCT Territorio;Attesa VCT Fabbricati
A001;PD;ABANO TERME;;D3AB;PD;PD;PD00;028001;;;
A004;LO;ABBADIA CERRETO;;C1AB;LO;LO;LO00;098001;;;
A005;LC;ABBADIA LARIANA;;C4AC;LC;LC;LC00;097001;;;
A006;SI;ABBADIA SAN SALVATORE;;I9AB;SI;SI;SI10;052001;;;
A007;OR;ABBASANTA;;V4AB;OR;OR;OR00;095001;;;
A008;PE;ABBATEGGIO;;N3AB;PE;PE;PE00;068001;;;
A010;MI;ABBIATEGRASSO;;C1AC;MI;MI;PV00;015002;;;
A013;PZ;ABRIOLA;;S1AB;PZ;PZ;PZ00;076001;;;
A014;RG;ACATE;;U7AB;RG;RG;RG00;088001;;;
A015;FG;ACCADIA;;R3AB;FG;FG;FG00;071001;;;
A016;CN;ACCEGLIO;;A4AB;CN;CN;CN00;004001;;;
A017;MT;ACCETTURA;;S2AB;MT;MT;MT00;077001;;;
A018;AQ;ACCIANO;;N1AB;AQ;AQ;AQ00;066001;;;
A019;RI;ACCUMOLI;;M4AB;RI;RI;RI00;057001;;;
A020;PZ;ACERENZA;;S1AC;PZ;PZ;PZ00;076002;;;
A022;BZ;CERMES;TSCHERMS;E2AC;;;;021020;;;
A023;SA;ACERNO;;Q5AB;SA;SA;SA00;065001;;;
A024;NA;ACERRA;;Q1AB;NA;NA;CE00;063001;;;
A025;CT;ACI BONACCORSI;;U4AB;CT;CT;CT00;087001;;;
A026;CT;ACI CASTELLO;;U4AC;CT;CT;CT00;087002;;;
A027;CT;ACI CATENA;;U4AD;CT;CT;CT00;087003;;;
A028;CT;ACIREALE;;U4AE;CT;CT;CT00;087004;;;
A029;CT;ACI SANT'ANTONIO;;U4AF;CT;CT;CT00;087005;;;
A032;FR;ACQUAFONDATA;;M2AB;FR;FR;FR00;060001;;;
A033;CS;ACQUAFORMOSA;;T3AB;CS;CS;CS00;078001;;;
A034;BS;ACQUAFREDDA;;C3AB;BS;BS;MN10;017001;;;
A035;PU;ACQUALAGNA;;K4AB;PS;PS;PS10;041001;;;
A038;MN;ACQUANEGRA SUL CHIESE;;C6AB;MN;MN;MN10;020001;;;
A039;CR;ACQUANEGRA CREMONESE;;C5AC;CR;CR;CR00;019001;;;
A040;VT;ACQUAPENDENTE;;M5AB;VT;VT;VT00;056001;;;
A041;CS;ACQUAPPESA;;T3AC;CS;CS;CS00;078002;;;
A042;LE;ACQUARICA DEL CAPO;;R4AB;LE;LE;LE00;075001;;;
A043;VV;ACQUARO;;T2AB;VV;VV;VV00;102001;;;
A044;AP;ACQUASANTA TERME;;K2AB;AP;AP;AP00;044001;;;
A045;TR;ACQUASPARTA;;L2AB;TR;TR;TR00;055001;;;
A047;AP;ACQUAVIVA PICENA;;K2AC;AP;AP;AP00;044002;;;
A048;BA;ACQUAVIVA DELLE FONTI;;R1AB;BA;BA;BA00;072001;;;
A049;CL;ACQUAVIVA PLATANI;;U3AB;CL;CL;CL00;085001;;;
A050;CB;ACQUAVIVA COLLECROCE;;P1AB;CB;CB;CB00;070001;;;
A051;IS;ACQUAVIVA D'ISERNIA;;P2AB;IS;IS;IS00;094001;;;
A052;AL;ACQUI TERME;;A2AB;AL;AL;AL10;006001;;;
A053;CS;ACRI;;T3AD;CS;CS;CS00;078003;;;
A054;FR;ACUTO;;M2AC;FR;FR;FR00;060002;;;
A055;BA;ADELFIA;;R1AC;BA;BA;BA00;072002;;;
A056;CT;ADRANO;;U4AG;CT;CT;CT00;087006;;;
A057;BG;ADRARA SAN MARTINO;;C2AB;BG;BG;BG00;016001;;;
A058;BG;ADRARA SAN ROCCO;;C2AC;BG;BG;BG00;016002;;;
A059;RO;ADRIA;;D4AB;RO;RO;RO00;029001;;;
A060;BS;ADRO;;C3AE;BS;BS;BS00;017002;;;
A061;VR;AFFI;;D6AB;VR;VR;VR00;023001;;;
A062;RM;AFFILE;;M1AB;RM;RM;RM20;058001;;;
A064;NA;AFRAGOLA;;Q1AC;NA;NA;NA20;063002;;;
A065;RC;AFRICO;;T1AB;RC;RC;RC00;080001;;;
A067;PC;AGAZZANO;;H6AB;PC;PC;PC00;033001;;;
A068;NA;AGEROLA;;Q1AD;NA;NA;NA20;063003;;;
A069;SS;AGGIUS;;V3AB;SS;SS;SS10;090001;;;
A070;EN;AGIRA;;U5AB;EN;EN;EN00;086001;;;
A071;PT;AGLIANA;;I8AC;PT;PT;PT00;047002;;;
A072;AT;AGLIANO TERME;;A3AB;AT;AT;AT00;005001;;;
A074;TO;AGLIE';;A1AC;TO;TO;TO40;001001;;;
A075;PD;AGNA;;D3AC;PD;PD;PD00;028002;;;
A076;CR;AGNADELLO;;C5AD;CR;CR;LO00;019002;;;
A077;RC;AGNANA CALABRA;;T1AC;RC;RC;RC00;080002;;;
A080;IS;AGNONE;;P2AC;IS;IS;IS00;094002;;;
A081;FR;VILLA LATINA;;M2DP;FR;FR;FR00;060088;;;
A082;BS;AGNOSINE;;C3AF;BS;BS;BS20;017003;;;
A083;BL;AGORDO;;D2AB;BL;BL;BL00;025001;;;
A084;RM;AGOSTA;;M1AC;RM;RM;RM20;058002;;;
A085;VA;AGRA;;C9AC;VA;VA;VA00;012001;;;
A087;MB;AGRATE BRIANZA;;C1AF;MI;MI;MI20;108001;;;
A088;NO;AGRATE CONTURBIA;;A5AE;NO;NO;NO00;003001;;;
A089;AG;AGRIGENTO;;U2AA;AG;AG;AG00;084001;;;
A091;SA;AGROPOLI;;Q5AC;SA;SA;SA00;065002;;;
A092;AN;AGUGLIANO;;K1AB;AN;AN;AN00;042001;;;
A093;VI;AGUGLIARO;;D7AB;VI;VI;VI00;024001;;;
A094;AO;AYAS;;B1AB;AO;AO;AO00;007007;;;
A096;MB;AICURZIO;;C1AG;MI;MI;MI20;108002;;;
A097;OR;AIDOMAGGIORE;;V4AC;OR;OR;OR00;095002;;;
A098;EN;AIDONE;;U5AC;EN;EN;EN00;086002;;;
A100;AQ;AIELLI;;N1AC;AQ;AQ;AQ00;066002;;;
A101;AV;AIELLO DEL SABATO;;Q2AB;AV;AV;AV00;064001;;;
A102;CS;AIELLO CALABRO;;T3AE;CS;CS;CS00;078004;;;
A103;UD;AIELLO DEL FRIULI;;F6AB;UD;UD;;030001;;;
A105;CS;AIETA;;T3AG;CS;CS;CS00;078005;;;
A106;CE;AILANO;;Q4AC;CE;CE;CE00;061001;;;
A107;BI;AILOCHE;;A6AC;BI;BI;BI00;096001;;;
A108;AO;AYMAVILLES;;B1AC;AO;AO;AO00;007008;;;
A109;TO;AIRASCA;;A1AD;TO;TO;TO50;001002;;;
A110;BN;AIROLA;;Q3AB;BN;BN;BN00;062001;;;
A111;IM;AIROLE;;G2AB;IM;IM;IM10;008001;;;
A112;LC;AIRUNO;;C4AE;LC;LC;LC00;097002;;;
A113;CN;AISONE;;A4AC;CN;CN;CN00;004002;;;
A115;SS;ALA' DEI SARDI;;V3AC;SS;SS;SS00;090002;;;
A116;TN;ALA;;E1AC;;;;022001;;;
A117;TO;ALA DI STURA;;A1AE;TO;TO;TO20;001003;;;
A118;PV;ALAGNA;;C7AB;PV;PV;PV10;018001;;;
A119;VC;ALAGNA VALSESIA;;A6AD;VC;VC;VC00;002002;;;
A120;PE;ALANNO;;N3AC;PE;PE;PE00;068002;;;
A121;BL;ALANO DI PIAVE;;D2AC;BL;BL;BL00;025002;;;
A122;SV;ALASSIO;;G4AB;SV;SV;SV10;009001;;;
A123;FR;ALATRI;;M2AD;FR;FR;FR00;060003;;;
A124;CN;ALBA;;A4AD;CN;CN;CN10;004003;;;
A125;TE;ALBA ADRIATICA;;N4AB;TE;TE;TE00;067001;;;
A126;OR;ALBAGIARA;;V4AD;OR;OR;OR00;095003;;;
A127;MI;ALBAIRATE;;C1AH;MI;MI;PV00;015005;;;
A128;SA;ALBANELLA;;Q5AD;SA;SA;SA00;065003;;;
A129;BG;ALBANO SANT'ALESSANDRO;;C2AD;BG;BG;BG00;016003;;;
A130;VC;ALBANO VERCELLESE;;A6AE;VC;VC;VC00;002003;;;
A131;PZ;ALBANO DI LUCANIA;;S1AD;PZ;PZ;PZ00;076003;;;
A132;RM;ALBANO LAZIALE;;M1AD;RM;RM;RM20;058003;;;
A134;PV;ALBAREDO ARNABOLDI;;C7AC;PV;PV;PV20;018002;;;
A135;SO;ALBAREDO PER SAN MARCO;;C8AC;SO;SO;SO00;014001;;;
A137;VR;ALBAREDO D'ADIGE;;D6AC;VR;VR;VR00;023002;;;
A138;PR;ALBARETO;;H5AB;PR;PR;PR00;034001;;;
A139;CN;ALBARETTO DELLA TORRE;;A4AE;CN;CN;CN10;004004;;;
A143;CO;ALBAVILLA;;C4AH;CO;CO;CO00;013003;;;
A145;SV;ALBENGA;;G4AC;SV;SV;SV10;009002;;;
A146;AL;ALBERA LIGURE;;A2AC;AL;AL;AL30;006002;;;
A149;BA;ALBEROBELLO;;R1AD;BA;BA;BA00;072003;;;
A150;FG;ALBERONA;;R3AC;FG;FG;FG10;071002;;;
A153;CO;ALBESE CON CASSANO;;C4AJ;CO;CO;CO00;013004;;;
A154;VI;ALBETTONE;;D7AC;VI;VI;VI00;024002;;;
A155;CZ;ALBI;;T2AC;CZ;CZ;CZ00;079002;;;
A157;TO;ALBIANO D'IVREA;;A1AF;TO;TO;TO40;001004;;;
A158;TN;ALBIANO;;E1AD;;;;022002;;;
A159;MB;ALBIATE;;C1AI;MI;MI;MI20;108003;;;
A160;CS;ALBIDONA;;T3AH;CS;CS;CS00;078006;;;
A161;PD;ALBIGNASEGO;;D3AD;PD;PD;PD00;028003;;;
A162;RE;ALBINEA;;H8AB;RE;RE;RE00;035001;;;
A163;BG;ALBINO;;C2AF;BG;BG;BG00;016004;;;
A164;CO;ALBIOLO;;C4AK;CO;CO;CO00;013005;;;
A165;SV;ALBISSOLA MARINA;;G4AK;SV;SV;SV00;009003;;;
A166;SV;ALBISOLA SUPERIORE;;G4AE;SV;SV;SV00;009004;;;
A167;VA;ALBIZZATE;;C9AD;VA;VA;MI20;012002;;;
A171;PV;ALBONESE;;C7AD;PV;PV;PV10;018003;;;
A172;SO;ALBOSAGGIA;;C8AD;SO;SO;SO00;014002;;;
A173;AT;ALBUGNANO;;A3AC;AT;AT;AT00;005002;;;
A175;PV;ALBUZZANO;;C7AE;PV;PV;PV00;018004;;;
A176;TP;ALCAMO;;U9AB;TP;TP;TP00;081001;;;
A177;ME;ALCARA LI FUSI;;U6AB;ME;ME;ME00;083001;;;
A178;TN;ALDENO;;E1AE;;;;022003;;;
A179;BZ;ALDINO;ALDEIN;E2AE;;;;021001;;;
A180;OR;ALES;;V4AE;OR;OR;OR00;095004;;;
A181;AG;ALESSANDRIA DELLA ROCCA;;U2AB;AG;AG;AG00;084002;;;
A182;AL;ALESSANDRIA;;A2AA;AL;AL;AL00;006003;;;
A183;CS;ALESSANDRIA DEL CARRETTO;;T3AI;CS;CS;CS00;078007;;;
A184;LE;ALESSANO;;R4AC;LE;LE;LE00;075002;;;
A185;LE;ALEZIO;;R4AD;LE;LE;LE00;075003;;;
A186;SA;ALFANO;;Q5AE;SA;SA;SA00;065004;;;
A187;AQ;ALFEDENA;;N1AD;AQ;AQ;AQ00;066003;;;
A188;BS;ALFIANELLO;;C3AG;BS;BS;BS00;017004;;;
A189;AL;ALFIANO NATTA;;A2AD;AL;AL;AL20;006004;;;
A191;RA;ALFONSINE;;H7AB;RA;RA;RA00;039001;;;
A192;SS;ALGHERO;;V3AD;SS;SS;SS00;090003;;;
A193;BG;ALGUA;;C2AG;BG;BG;BG00;016248;;;
A194;ME;ALI';;U6AC;ME;ME;ME00;083002;;;
A195;PA;ALIA;;U1AB;PA;PA;PA00;082001;;;
A196;MT;ALIANO;;S2AC;MT;MT;MT00;077002;;;
A197;AL;ALICE BEL COLLE;;A2AE;AL;AL;AL10;006005;;;
A198;VC;ALICE CASTELLO;;A6AF;VC;VC;VC00;002004;;;
A199;TO;ALICE SUPERIORE;;A1AG;TO;TO;TO40;001005;;;
A200;CE;ALIFE;;Q4AE;CE;CE;CE00;061002;;;
A201;ME;ALI' TERME;;U6AD;ME;ME;ME00;083003;;;
A202;PA;ALIMENA;;U1AC;PA;PA;PA00;082002;;;
A203;PA;ALIMINUSA;;U1AD;PA;PA;PA00;082003;;;
A204;OR;ALLAI;;V4AF;OR;OR;OR00;095005;;;
A205;AO;ALLEIN;;B1AD;AO;AO;AO00;007001;;;
A206;BL;ALLEGHE;;D2AD;BL;BL;BL00;025003;;;
A207;TR;ALLERONA;;L2AC;TR;TR;TR00;055002;;;
A208;LE;ALLISTE;;R4AE;LE;LE;LE00;075004;;;
A210;RM;ALLUMIERE;;M1AE;RM;RM;RM40;058004;;;
A214;BG;ALME';;C2AH;BG;BG;BG00;016005;;;
A215;BG;VILLA D'ALME';;C2AI;BG;BG;BG00;016239;;;
A216;BG;ALMENNO SAN BARTOLOMEO;;C2AJ;BG;BG;BG00;016006;;;
A217;BG;ALMENNO SAN SALVATORE;;C2AK;BG;BG;BG00;016007;;;
A218;TO;ALMESE;;A1AH;TO;TO;TO60;001006;;;
A220;VI;ALONTE;;D7AD;VI;VI;VI00;024003;;;
A221;TO;ALPETTE;;A1AI;TO;TO;TO40;001007;;;
A222;TO;ALPIGNANO;;A1AJ;TO;TO;TO20;001008;;;
A223;PC;ALSENO;;H6AC;PC;PC;PC00;033002;;;
A224;CO;ALSERIO;;C4AM;CO;CO;CO00;013006;;;
A225;BA;ALTAMURA;;R1AE;BA;BA;BA00;072004;;;
A226;SV;ALTARE;;G4AF;SV;SV;SV00;009005;;;
A227;AL;ALTAVILLA MONFERRATO;;A2AG;AL;AL;AL20;006007;;;
A228;AV;ALTAVILLA IRPINA;;Q2AC;AV;AV;AV00;064002;;;
A229;PA;ALTAVILLA MILICIA;;U1AE;PA;PA;PA00;082004;;;
A230;SA;ALTAVILLA SILENTINA;;Q5AF;SA;SA;SA00;065005;;;
A231;VI;ALTAVILLA VICENTINA;;D7AE;VI;VI;VI00;024004;;;
A233;FM;ALTIDONA;;K2AE;AP;AP;AP10;109001;;;
A234;CS;ALTILIA;;T3AJ;CS;CS;CS00;078008;;;
A235;CH;ALTINO;;N2AB;CH;CH;CH00;069001;;;
A236;VI;ALTISSIMO;;D7AF;VI;VI;VI00;024005;;;
A237;TV;ALTIVOLE;;D5AC;TV;TV;TV00;026001;;;
A238;CN;ALTO;;A4AH;CN;CN;CN20;004005;;;
A239;PA;ALTOFONTE;;U1AF;PA;PA;PA00;082005;;;
A240;CS;ALTOMONTE;;T3AK;CS;CS;CS00;078009;;;
A241;LU;ALTOPASCIO;;I5AB;LU;LU;LU00;046001;;;
A242;TR;ALVIANO;;L2AD;TR;TR;TR00;055003;;;
A243;CE;ALVIGNANO;;Q4AF;CE;CE;CE00;061003;;;
A244;FR;ALVITO;;M2AE;FR;FR;FR00;060004;;;
A245;AL;ALZANO SCRIVIA;;A2AH;AL;AL;AL40;006008;;;
A246;BG;ALZANO LOMBARDO;;C2AL;BG;BG;BG00;016008;;;
A249;CO;ALZATE BRIANZA;;C4AN;CO;CO;CO00;013007;;;
A251;SA;AMALFI;;Q5AG;SA;SA;SA00;065006;;;
A252;FM;AMANDOLA;;K2AF;AP;AP;AP00;109002;;;
A253;CS;AMANTEA;;T3AL;CS;CS;CS00;078010;;;
A254;UD;AMARO;;F6AC;UD;UD;UD00;030002;;;
A255;CZ;AMARONI;;T2AD;CZ;CZ;CZ00;079003;;;
A256;FR;AMASENO;;M2AF;FR;FR;FR00;060005;;;
A257;CZ;AMATO;;T2AE;CZ;CZ;CZ00;079004;;;
A258;RI;AMATRICE;;M4AC;RI;RI;RI00;057002;;;
A259;BG;AMBIVERE;;C2AP;BG;BG;BG00;016009;;;
A261;SP;AMEGLIA;;G3AB;SP;SP;SP10;011001;;;
A262;TR;AMELIA;;L2AE;TR;TR;TR00;055004;;;
A263;CS;AMENDOLARA;;T3AM;CS;CS;CS00;078011;;;
A264;NO;AMENO;;A5AJ;NO;NO;NO00;003002;;;
A265;BN;AMOROSI;;Q3AC;BN;BN;BN00;062002;;;
A266;BL;CORTINA D'AMPEZZO;;D2AE;BL;BL;;025016;;;
A267;UD;AMPEZZO;;F6AD;UD;UD;UD00;030003;;;
A268;NA;ANACAPRI;;Q1AE;NA;NA;NA20;063004;;;
A269;FR;ANAGNI;;M2AG;FR;FR;FR00;060006;;;
A270;TE;ANCARANO;;N4AC;TE;TE;TE00;067002;;;
A271;AN;ANCONA;;K1AA;AN;AN;AN00;042002;;;
A272;CZ;ANDALI;;T2AF;CZ;CZ;CZ00;079005;;;
A273;SO;ANDALO VALTELLINO;;C8AE;SO;SO;SO00;014003;;;
A274;TN;ANDALO;;E1AH;;;;022005;;;
A275;TO;ANDEZENO;;A1AK;TO;TO;TO20;001009;;;
A278;SV;ANDORA;;G4AG;SV;SV;SV10;009006;;;
A280;BI;ANDORNO MICCA;;A6AH;BI;BI;BI00;096002;;;
A281;LE;ANDRANO;;R4AF;LE;LE;LE00;075005;;;
A282;TO;ANDRATE;;A1AL;TO;TO;TO40;001010;;;
A283;PN;ANDREIS;;F5AB;PN;PN;PN00;093001;;;
A284;AV;ANDRETTA;;Q2AD;AV;AV;AV00;064003;;;
A285;BT;ANDRIA;;R1AF;BA;BA;BA10;110001;;;
A286;BZ;ANDRIANO;ANDRIAN;E2AG;;;;021002;;;
A287;SS;ANELA;;V3AE;SS;SS;SS00;090004;;;
A288;BS;ANFO;;C3AI;BS;BS;BS20;017005;;;
A290;VA;ANGERA;;C9AE;VA;VA;VA00;012003;;;
A291;AR;ANGHIARI;;I2AB;AR;AR;AR00;051001;;;
A292;VR;ANGIARI;;D6AD;VR;VR;VR00;023003;;;
A293;BS;ANGOLO TERME;;C3AK;BS;BS;BS10;017006;;;
A294;SA;ANGRI;;Q5AH;SA;SA;SA00;065007;;;
A295;TO;ANGROGNA;;A1AM;TO;TO;TO50;001011;;;
A296;PD;ANGUILLARA VENETA;;D3AE;PD;PD;PD00;028004;;;
A297;RM;ANGUILLARA SABAZIA;;M1AF;RM;RM;RM20;058005;;;
A299;CR;ANNICCO;;C5AG;CR;CR;CR00;019003;;;
A300;AT;CASTELLO DI ANNONE;;A3BC;AT;AT;AL00;005028;;;
A301;LC;ANNONE DI BRIANZA;;C4AP;LC;LC;LC00;097003;;;
A302;VE;ANNONE VENETO;;D1AB;VE;VE;VE00;027001;;;
A303;RC;ANOIA;;T1AD;RC;RC;RC00;080003;;;
A304;BG;ANTEGNATE;;C2AQ;BG;BG;BG00;016010;;;
A305;AO;ANTEY-SAINT-ANDRE';;B1AE;AO;AO;AO00;007002;;;
A306;BZ;ANTERIVO;ALTREI;E2AH;;;;021003;;;
A308;AO;LA MAGDELEINE;;B1BV;AO;AO;AO00;007039;;;
A309;RM;ANTICOLI CORRADO;;M1AG;RM;RM;RM20;058006;;;
A310;FR;FIUGGI;;M2AH;FR;FR;FR00;060035;;;
A312;AT;ANTIGNANO;;A3AD;AT;AT;AT00;005003;;;
A313;ME;ANTILLO;;U6AE;ME;ME;ME00;083004;;;
A314;RC;ANTONIMINA;;T1AE;RC;RC;RC00;080004;;;
A315;RI;ANTRODOCO;;M4AD;RI;RI;RI00;057003;;;
A317;VB;ANTRONA SCHIERANCO;;A5AL;VB;VB;VB00;103001;;;
A318;AQ;ANVERSA DEGLI ABRUZZI;;N1AE;AQ;AQ;AQ00;066004;;;
A319;CO;ANZANO DEL PARCO;;C4AQ;CO;CO;CO00;013009;;;
A320;FG;ANZANO DI PUGLIA;;R3AD;FG;FG;FG00;071003;;;
A321;PZ;ANZI;;S1AE;PZ;PZ;PZ00;076004;;;
A323;RM;ANZIO;;M1AI;RM;RM;RM20;058007;;;
A324;BO;ANZOLA DELL'EMILIA;;H1AB;BO;BO;BO00;037001;;;
A325;VB;ANZOLA D'OSSOLA;;A5AN;VB;VB;VB00;103002;;;
A326;AO;AOSTA;;B1AA;AO;AO;AO00;007003;;;
A327;PU;APECCHIO;;K4AC;PS;PS;PS10;041002;;;
A328;BN;APICE;;Q3AD;BN;BN;BN00;062003;;;
A329;MC;APIRO;;K3AC;MC;MC;MC00;043002;;;
A330;BN;APOLLOSA;;Q3AE;BN;BN;BN00;062004;;;
A332;BZ;APPIANO SULLA STRADA DEL VINO;EPPAN AN DER WEINSTRASSE;E2AJ;;;;021004;;;
A333;CO;APPIANO GENTILE;;C4AR;CO;CO;CO00;013010;;;
A334;MC;APPIGNANO;;K3AD;MC;MC;MC00;043003;;;
A335;AP;APPIGNANO DEL TRONTO;;K2AG;AP;AP;AP00;044005;;;
A337;SO;APRICA;;C8AF;SO;SO;SO00;014004;;;
A338;IM;APRICALE;;G2AC;IM;IM;IM10;008002;;;
A339;FG;APRICENA;;R3AE;FG;FG;FG10;071004;;;
A340;CS;APRIGLIANO;;T3AN;CS;CS;CS00;078012;;;
A341;LT;APRILIA;;M3AB;LT;LT;LT00;059001;;;
A343;SA;AQUARA;;Q5AI;SA;SA;SA00;065008;;;
A344;IM;AQUILA D'ARROSCIA;;G2AD;IM;IM;IM00;008003;;;
A345;AQ;L'AQUILA;;N1AA;AQ;AQ;AQ00;066049;;;
A346;UD;AQUILEIA;;F6AE;UD;UD;;030004;;;
A347;AV;AQUILONIA;;Q2AE;AV;AV;AV00;064004;;;
A348;FR;AQUINO;;M2AI;FR;FR;FR00;060007;;;
A350;LE;ARADEO;;R4AG;LE;LE;LE00;075006;;;
A351;AG;ARAGONA;;U2AC;AG;AG;AG00;084003;;;
A352;AT;ARAMENGO;;A3AE;AT;AT;AT00;005004;;;
A354;PN;ARBA;;F5AC;PN;PN;PN00;093002;;;
A355;NU;TORTOLI';;V2AB;NU;NU;NU00;091095;;;
A357;OR;ARBOREA;;V4AG;OR;OR;OR00;095006;;;
A358;VC;ARBORIO;;A6AJ;VC;VC;VC00;002006;;;
A359;SU;ARBUS;;V1AH;CA;CA;CA00;111001;;;
A360;TV;ARCADE;;D5AD;TV;TV;TV00;026002;;;
A363;FR;ARCE;;M2AJ;FR;FR;FR00;060008;;;
A365;BG;ARCENE;;C2AR;BG;BG;BG00;016011;;;
A366;AN;ARCEVIA;;K1AC;AN;AN;AN00;042003;;;
A367;CH;ARCHI;;N2AC;CH;CH;CH00;069002;;;
A368;OR;SAN NICOLO' D'ARCIDANO;;V4BV;OR;OR;OR00;095046;;;
A369;GR;ARCIDOSSO;;I3AB;GR;GR;GR00;053001;;;
A370;RM;ARCINAZZO ROMANO;;M1AJ;RM;RM;RM20;058008;;;
A371;VA;ARCISATE;;C9AG;VA;VA;VA00;012004;;;
A372;TN;ARCO;;E1AJ;;;;022006;;;
A373;SP;ARCOLA;;G3AC;SP;SP;SP00;011002;;;
A374;VR;ARCOLE;;D6AE;VR;VR;VR00;023004;;;
A375;MI;ARCONATE;;C1AM;MI;MI;MI20;015007;;;
A376;MB;ARCORE;;C1AN;MI;MI;MI20;108004;;;
A377;VI;ARCUGNANO;;D7AG;VI;VI;VI00;024006;;;
A379;SS;ARDARA;;V3AF;SS;SS;SS00;090005;;;
A380;OR;ARDAULI;;V4AH;OR;OR;OR00;095007;;;
A382;SO;ARDENNO;;C8AG;SO;SO;SO00;014005;;;
A383;BG;ARDESIO;;C2AS;BG;BG;BG00;016012;;;
A385;RC;ARDORE;;T1AF;RC;RC;RC00;080005;;;
A386;VV;ARENA;;T2AG;VV;VV;VV00;102002;;;
A387;PV;ARENA PO;;C7AF;PV;PV;PV20;018005;;;
A388;GE;ARENZANO;;G1AC;GE;GE;GE00;010001;;;
A389;MI;ARESE;;C1AP;MI;MI;MI20;015009;;;
A390;AR;AREZZO;;I2AA;AR;AR;AR00;051002;;;
A391;CO;ARGEGNO;;C4AT;CO;CO;CO00;013011;;;
A392;BO;ARGELATO;;H1AC;BO;BO;BO00;037002;;;
A393;FE;ARGENTA;;H2AB;FE;FE;FE00;038001;;;
A394;CN;ARGENTERA;;A4AJ;CN;CN;CN00;004006;;;
A396;CN;ARGUELLO;;A4AK;CN;CN;CN10;004007;;;
A397;CZ;ARGUSTO;;T2AH;CZ;CZ;CZ00;079007;;;
A398;CH;ARI;;N2AD;CH;CH;CH00;069003;;;
A399;AV;ARIANO IRPINO;;Q2AF;AV;AV;AV00;064005;;;
A400;RO;ARIANO NEL POLESINE;;D4AC;RO;RO;VE10;029002;;;
A401;RM;ARICCIA;;M1AK;RM;RM;RM20;058009;;;
A402;CH;ARIELLI;;N2AE;CH;CH;CH00;069004;;;
A403;CE;ARIENZO;;Q4AG;CE;CE;CE00;061004;;;
A405;TO;ARIGNANO;;A1AP;TO;TO;TO20;001012;;;
A407;NU;ARITZO;;V2AC;NU;NU;NU00;091001;;;
A409;VB;ARIZZANO;;A5AQ;VB;VB;VB00;103003;;;
A412;VT;ARLENA DI CASTRO;;M5AC;VT;VT;VT00;056002;;;
A413;MI;ARLUNO;;C1AQ;MI;MI;MI20;015010;;;
A414;NO;ARMENO;;A5AT;NO;NO;NO00;003006;;;
A415;PZ;ARMENTO;;S1AF;PZ;PZ;PZ00;076005;;;
A418;IM;ARMO;;G2AE;IM;IM;IM00;008004;;;
A419;SU;ARMUNGIA;;V1AL;CA;CA;CA00;111002;;;
A421;FR;ARNARA;;M2AK;FR;FR;FR00;060009;;;
A422;SV;ARNASCO;;G4AH;SV;SV;SV10;009007;;;
A424;AO;ARNAD;;B1AF;AO;AO;AO00;007004;;;
A425;LE;ARNESANO;;R4AH;LE;LE;LE00;075007;;;
A427;VB;AROLA;;A5AU;VB;VB;NO00;103004;;;
A429;NO;ARONA;;A5AV;NO;NO;VB00;003008;;;
A430;CO;AROSIO;;C4AU;CO;CO;CO00;013012;;;
A431;BN;ARPAIA;;Q3AF;BN;BN;BN00;062005;;;
A432;BN;ARPAISE;;Q3AG;BN;BN;BN00;062006;;;
A433;FR;ARPINO;;M2AL;FR;FR;FR00;060010;;;
A434;PD;ARQUA' PETRARCA;;D3AF;PD;PD;PD00;028005;;;
A435;RO;ARQUA' POLESINE;;D4AD;RO;RO;RO00;029003;;;
A436;AL;ARQUATA SCRIVIA;;A2AJ;AL;AL;AL30;006009;;;
A437;AP;ARQUATA DEL TRONTO;;K2AH;AP;AP;AP00;044006;;;
A438;PD;ARRE;;D3AG;PD;PD;PD00;028006;;;
A439;TR;ARRONE;;L2AF;TR;TR;TR00;055005;;;
A440;BG;ARZAGO D'ADDA;;C2AT;BG;BG;BG00;016013;;;
A441;VA;ARSAGO SEPRIO;;C9AL;VA;VA;MI20;012005;;;
A443;BL;ARSIE';;D2AF;BL;BL;BL00;025004;;;
A444;VI;ARSIERO;;D7AH;VI;VI;VI20;024007;;;
A445;TE;ARSITA;;N4AD;TE;TE;TE00;067003;;;
A446;RM;ARSOLI;;M1AM;RM;RM;RM20;058010;;;
A447;UD;ARTA TERME;;F6AF;UD;UD;UD00;030005;;;
A448;UD;ARTEGNA;;F6AG;UD;UD;UD00;030006;;;
A449;RM;ARTENA;;M1AN;RM;RM;RM50;058011;;;
A451;BS;ARTOGNE;;C3AM;BS;BS;BS10;017007;;;
A452;AO;ARVIER;;B1AG;AO;AO;AO00;007005;;;
A453;SS;ARZACHENA;;V3AG;SS;SS;SS10;090006;;;
A454;NU;ARZANA;;V2AD;NU;NU;NU00;091002;;;
A455;NA;ARZANO;;Q1AF;NA;NA;NA20;063005;;;
A458;PD;ARZERGRANDE;;D3AH;PD;PD;PD00;028007;;;
A459;VI;ARZIGNANO;;D7AI;VI;VI;VI00;024008;;;
A460;SA;ASCEA;;Q5AJ;SA;SA;SA00;065009;;;
